1	912477	912596
1	912790	912909
1	915002	915121
1	915240	915359
1	938578	938697
1	954104	954223
1	968141	968260
1	968262	968381
1	991895	992014
1	1001422	1001541
1	1021681	1021800
1	1069888	1070007
1	1126807	1126926
1	1161360	1161479
1	1171459	1171578
1	1171959	1172078
1	1174233	1174352
1	1174354	1174473
1	1215233	1215352
1	1225792	1225911
1	1271265	1271384
1	1271495	1271614
1	1284976	1285095
1	1304047	1304166
1	1348458	1348577
1	1374699	1374818
1	1377740	1377859
1	1377937	1378056
1	1428491	1428610
1	1437674	1437793
1	1437795	1437914
1	1449611	1449730
1	1480280	1480399
1	1529982	1530101
1	1570398	1570517
1	1598508	1598627
1	1610699	1610818
1	1617109	1617228
1	1627252	1627371
1	1717273	1717392
1	1749112	1749231
1	1798232	1798351
1	1889667	1889786
1	1911197	1911316
1	1920871	1920990
1	1996343	1996462
1	2024331	2024450
1	2049286	2049405
1	2059933	2060052
1	2173561	2173680
1	2191002	2191121
1	2212210	2212329
1	2215731	2215850
1	2224351	2224470
1	2234637	2234756
1	2388134	2388253
1	2392819	2392938
1	2404287	2404406
1	2420207	2420326
1	2423618	2423737
1	2426246	2426365
1	2455913	2456032
1	2485727	2485846
1	2488652	2488771
1	2494741	2494860
1	2519538	2519657
1	2526874	2526993
1	2526995	2527114
1	2564269	2564388
1	2583427	2583546
1	2594619	2594738
1	2633705	2633824
1	2793771	2793890
1	3011074	3011193
1	3028025	3028144
1	3068667	3068786
1	3072094	3072213
1	3122175	3122294
1	3143771	3143890
1	3454135	3454254
1	3466675	3466794
1	3554152	3554271
1	3606585	3606704
1	3614500	3614619
1	3614697	3614816
1	3628295	3628414
1	3649213	3649332
1	3660635	3660754
1	3665303	3665422
1	3674096	3674215
1	3674300	3674419
1	3721379	3721498
1	3749280	3749399
1	3754440	3754559
1	3773422	3773541
1	3789380	3789499
1	3803892	3804011
1	3851930	3852049
1	3881123	3881242
1	3899229	3899348
1	3903000	3903119
1	4646784	4646903
1	4657487	4657606
1	5801449	5801568
1	5817393	5817512
1	5989727	5989846
1	6160758	6160877
1	6184857	6184976
1	6198476	6198595
1	6214148	6214267
1	6226392	6226511
1	6236661	6236780
1	6248642	6248761
1	6262971	6263090
1	6381102	6381221
1	6471017	6471136
1	6521522	6521641
1	6554682	6554801
1	6554803	6554922
1	6575237	6575356
